score;content;sentimen
5;Aplikasi yang recommended untuk pemula yang baru belajar saham dan Reksadana 👍;Positif
5;good job;Positif
5;Bagus banget untuk belajar berinvestasi;Positif
5;bagus banget;Positif
1;Kalau saya lupa pasword sama email gimana ya cara masuk nya lagi;Negatif
5;Mantappp;Positif
5;Apik tapi elek wkwk;Positif
5;Mantap;Positif
5;App nya bagus, berguna bangettt buat belajar investasi;Positif
5;apk ini bagus bet dah kek mo meninggoy. Nyesel dah lu pada kagak nginstal;Positif
5;Nice👍;Positif
5;Bagus bgt aplikasinya, bisa sekalian belajar investasi;Positif
5;Nice banget aplikasinya, interface menarik dan mudah untuk dioperasikan 👍;Positif
5;Aplikasinya berguna banget! Bermanfaat untuk investasi jangka panjang dan udah terpercaya. Dijamin tidak bakal kecewa;Positif
5;Mantap;Positif
5;Sangat bermanfaat untuk para pemula yang akan melakukan investasi;Positif
5;Sangat bermanfaat...;Positif
5;aplikasi inimenarik, dan menguntungkan.;Positif
5;mantul;Positif
5;Berguna banget untuk aku yang pemula 👌;Positif
5;oke banget!!;Positif
5;aplikasi ini sangat bagus bagi saya sebagai mahasiswa, terlebih bagi yang ingin belajar tentang investasi dan juga dapat mengetahui pentingnya investasi di usia muda.;Positif
5;"Menarik , menguntungkan meski pelan"" Wkwk";Positif
5;Aplikasi nya mantab;Positif
5;Good application;Positif
5;Mantappp;Positif
5;Goodd;Positif
5;Mantap;Positif
5;ajaib cocok untuk pemula, proses deposit dan wd sangat cepat, sangat recommended untuk pemula;Positif
5;Coba-coba main investasi;Positif
5;Goog apk;Positif
5;Pokoknya mantap;Positif
5;Apk Ajaib paling manteppp👍;Positif
5;Bagus , belum ada kendala saat ini;Positif
1;Saya nyoba invest mulai dr yg kecilan ga pernah profit2 apa yg salah yah ky jalan di tempat;Negatif
1;Sudah 1 bulan lebih , status data sedang di periksa terusss;Negatif
5;Cocok untuk saya sebagai pemula yang baru investasi. Daftar dan penggunaan aplikasinya mudah;Positif
5;Sangat memuaskan;Positif
5;Aplikasinya mudah dijalankan, bagus;Positif
5;Saya senang pakai aplikasi ini, pendaftarannya mudah dan tidak ribet;Positif
5;bagus;Positif
5;Sangat keren;Positif
5;Kok saya melakukan penarikan di aplikasi ajaib sudah berhasil, tapi di mbangking ku belum yah;Positif
5;Appsnya oke;Positif
5;Mantap;Positif
5;KBL.. KBL.. Keren Bnaget Lhoohh😍;Positif
5;Good aplikasi;Positif
5;Ajaib emang beneran ajaib sih, gud lah 😃;Positif
5;Aplikasinya bagus banget, mudah diakses juga buat pemula yang ingin belajar berinvestasi;Positif
5;Nice dude;Positif
5;Sangat memuaskan;Positif
5;keren bangetttt;Positif
5;Aplikasinya masih dalam pengembangan, tapi udah keren, fast respon adminnya;Positif
5;Aplikasinya bagusssss;Positif
1;Woi registrasi 2 minggu apa ini maksudnya, gaada notif apa2 gw cek berkali2;Negatif
5;Ajaib adalah aplikasi terbaik untuk pembelian saham maupun reksanadana, salam;Positif
5;Keren aplikasinya sangat bermanfaat;Positif
5;"Aplikasinya sangat bagus dan fitur""nya keren, jadi makin suka pakai aplikasi ajaib";Positif
1;Pleaseeeeeeee,.. jangan pasang apk ini gua nyesel. Gua mau bagi pengalaman Tidak sesuak kenyataan. Yang gua alami malah kerugian.. sebelum gua beli lot di sebuah perusahaan.. tingkat kenaikan saham sangat bagus.. Begitu gua beli belum pernah ngerasain naik, yang ada malah turun terus.. saya mengalami kerugian bukan beberapa hari malah seterusnya. Teruss banyak potongan Saldo gua terus banyak potongannya. INTINYA JANGAN PERNAH PASANG. PERMAINAN MARKETINGNYA HEBAT SEKALI SAYA SALUT.;Negatif
5;Sesuai dengan namanya, aplikasinya ajaib!!! Keren pokoknya!;Positif
5;Good👍;Positif
5;Bagus,disuruh mila;Positif
1;pembukaan akun gagal, knp gagal!? yg laen berhasil tu;Negatif
5;Alhamdulillah, amanah;Positif
5;woww bagus sekali bestie;Positif
